DATE,SLRTTO01NOQ661N
1960-01-01,24.6840231312502
1960-04-01,29.4424651098053
1960-07-01,30.0431714645477
1960-10-01,34.9314940280245
1961-01-01,26.7173081859285
1961-04-01,31.0445909078789
1961-07-01,31.6042122347591
1961-10-01,35.7256373434213
1962-01-01,27.2200332363293
1962-04-01,31.8537497197745
1962-07-01,31.9493091698421
1962-10-01,37.5618180581159
1963-01-01,27.5291483364845
1963-04-01,32.9540846112387
1963-07-01,33.6777173693446
1963-10-01,39.1046430243952
1964-01-01,28.6856183502278
1964-04-01,33.8016125144177
1964-07-01,34.1369528365683
1964-10-01,40.0963058547942
1965-01-01,28.5770500829171
1965-04-01,35.3152022398183
1965-07-01,35.3251145433825
1965-10-01,40.8497793173473
1966-01-01,30.1528641641998
1966-04-01,36.1971031747287
1966-07-01,37.5881297749068
1966-10-01,42.3932097471951
1967-01-01,31.781595761369
1967-04-01,38.0226277306178
1967-07-01,38.432751452957
1967-10-01,43.2917349818005
1968-01-01,32.679186852183
1968-04-01,38.4621423844677
1968-07-01,39.0033057219883
1968-10-01,44.5245453020514
1969-01-01,34.9600200115801
1969-04-01,40.263638686167
1969-07-01,41.8721132022303
1969-10-01,51.7936544106043
1970-01-01,33.3493334184938
1970-04-01,42.5248113960688
1970-07-01,41.9954568973625
1970-10-01,49.40641987925
1971-01-01,37.407717908575
1971-04-01,44.465777891325
1971-07-01,44.1128748921875
1971-10-01,50.8180318758
1972-01-01,39.3486844038313
1972-04-01,43.4070688939125
1972-07-01,43.5835203934813
1972-10-01,49.7593228783875
1973-01-01,39.7015874029688
1973-04-01,43.2306173943438
1973-07-01,43.75997189305
1973-10-01,50.112225877525
1974-01-01,39.5251359034
1974-04-01,44.6422293908938
1974-07-01,45.3480353891688
1974-10-01,51.8767408732125
1975-01-01,40.7602964003813
1975-04-01,47.1125503848563
1975-07-01,46.7596473857188
1975-10-01,54.1706103676062
1976-01-01,43.4070688939125
1976-04-01,48.3477108818375
1976-07-01,50.112225877525
1976-10-01,59.1112523555313
1977-01-01,46.0538413874438
1977-04-01,52.4060953719188
1977-07-01,52.935449870625
1977-10-01,61.7580248490625
1978-01-01,45.3480353891688
1978-04-01,49.2299683796813
1978-07-01,48.8770653805438
1978-10-01,56.464479862
1979-01-01,45.2035158738995
1979-04-01,48.8692572967405
1979-07-01,50.2217517440932
1979-10-01,62.6830840794107
1980-01-01,46.6457389172739
1980-04-01,47.7399900882713
1980-07-01,50.4033974384787
1980-10-01,61.763913095773
1981-01-01,45.2494744230813
1981-04-01,48.1492400262243
1981-07-01,49.5630125391528
1981-10-01,62.2191215829078
1982-01-01,45.3479570284711
1982-04-01,48.646030057857
1982-07-01,49.3616703236893
1982-10-01,58.5708881788028
1983-01-01,45.2100813809254
1983-04-01,46.4312656877585
1983-07-01,48.674480588303
1983-10-01,59.0633012057516
1984-01-01,44.8314704757604
1984-04-01,47.3898297135521
1984-07-01,48.2192721011681
1984-10-01,59.69796688493
1985-01-01,44.9321415834921
1985-04-01,47.9654058294967
1985-07-01,49.902230402162
1985-10-01,62.14471250328
1986-01-01,45.7375104453462
1986-04-01,51.3488304502204
1986-07-01,50.4581099970286
1986-10-01,63.372462317139
1987-01-01,45.5471107415926
1987-04-01,48.7182506351429
1987-07-01,48.6241450344371
1987-10-01,58.5402491460148
1988-01-01,45.374219056575
1988-04-01,46.4422081994684
1988-07-01,46.0964248294333
1988-10-01,53.0602392816602
1989-01-01,43.4614680096717
1989-04-01,46.6807549547458
1989-07-01,46.8689661561574
1989-10-01,53.968467753588
1990-01-01,44.4638020823053
1990-04-01,47.9238242849988
1990-07-01,48.7554551749568
1990-10-01,55.7170811248418
1991-01-01,44.8993140483622
1991-04-01,47.459861788496
1991-07-01,49.2303601831696
1991-10-01,57.0126745113026
1992-01-01,45.6258968259044
1992-04-01,48.6394645508311
1992-07-01,49.7534122429063
1992-10-01,58.5599456670928
1993-01-01,44.9518381045701
1993-04-01,48.8342412592686
1993-07-01,51.6639747874677
1993-10-01,60.518655263178
1994-01-01,48.3987292932116
1994-04-01,50.7119762687
1994-07-01,53.966279251246
1994-10-01,62.1994250618299
1995-01-01,48.8386182639526
1995-04-01,53.0689932910282
1995-07-01,55.8265062419415
1995-10-01,63.7488847199621
1996-01-01,50.8520404185876
1996-04-01,53.4607352102453
1996-07-01,56.9820354785146
1996-10-01,66.5436022106893
1997-01-01,50.6200591703362
1997-04-01,57.6101356506671
1997-07-01,60.1684948884589
1997-10-01,70.1327460515605
1998-01-01,54.1063434011337
1998-04-01,60.4442461835502
1998-07-01,64.0968565923392
1998-10-01,71.5268220434111
1999-01-01,57.2118282244241
1999-04-01,59.5010016741505
1999-07-01,65.399015485826
1999-10-01,73.4570811090504
2000-01-01,59.8666666666667
2000-04-01,66.0
2000-07-01,67.7333333333333
2000-10-01,73.1666666666666
2001-01-01,60.5
2001-04-01,66.3333333333334
2001-07-01,68.0666666666667
2001-10-01,76.1333333333334
2002-01-01,63.1666666666667
2002-04-01,70.5
2002-07-01,71.8666666666666
2002-10-01,79.6666666666667
2003-01-01,63.9
2003-04-01,72.2
2003-07-01,74.5666666666666
2003-10-01,82.1
2004-01-01,67.7333333333333
2004-04-01,74.6666666666667
2004-07-01,76.6
2004-10-01,84.5
2005-01-01,67.8666666666666
2005-04-01,77.9
2005-07-01,80.0
2005-10-01,86.9333333333334
2006-01-01,71.9666666666667
2006-04-01,80.8333333333334
2006-07-01,84.2666666666667
2006-10-01,92.3666666666666
2007-01-01,78.0333333333333
2007-04-01,86.7333333333333
2007-07-01,89.1
2007-10-01,97.8666666666666
2008-01-01,79.9666666666667
2008-04-01,90.4
2008-07-01,90.9
2008-10-01,97.3666666666667
2009-01-01,78.8666666666667
2009-04-01,89.1
2009-07-01,92.0333333333333
2009-10-01,100.3
2010-01-01,82.5
2010-04-01,87.3666666666667
2010-07-01,93.1333333333333
2010-10-01,103.2
2011-01-01,81.5333333333333
2011-04-01,92.3
2011-07-01,95.5333333333333
2011-10-01,104.6
2012-01-01,87.5333333333334
2012-04-01,94.5333333333334
2012-07-01,97.1666666666667
2012-10-01,105.966666666667
2013-01-01,87.0
2013-04-01,97.2666666666667
2013-07-01,99.2
2013-10-01,107.066666666667
2014-01-01,87.9666666666667
2014-04-01,99.2333333333333
2014-07-01,100.533333333333
2014-10-01,109.9
2015-01-01,91.0666666666667
2015-04-01,99.4333333333333
2015-07-01,101.3
2015-10-01,108.2
2016-01-01,87.6333333333333
2016-04-01,100.1
2016-07-01,99.1666666666667
2016-10-01,107.233333333333
2017-01-01,89.0
2017-04-01,101.066666666667
2017-07-01,101.4
2017-10-01,109.166666666667
2018-01-01,90.4666666666666
2018-04-01,102.633333333333
2018-07-01,101.166666666667
2018-10-01,109.333333333333
2019-01-01,89.3666666666667
2019-04-01,101.766666666667
2019-07-01,102.566666666667
2019-10-01,109.233333333333
2020-01-01,90.7
2020-04-01,111.5
2020-07-01,113.066666666667